Epochs,Training Loss,Validation Loss
1,0.0,0.0
2,1.4594059405940594,1.25
3,1.1222772277227724,0.938
4,0.9272277227722773,1.562
5,0.8212871287128712,1.218
6,0.7183168316831683,1.062
7,0.656930693069307,1.156
8,0.6099009900990099,0.406
9,0.557920792079208,0.844
10,0.5336633663366337,0.718
11,0.4896039603960396,0.624
12,0.45594059405940596,0.53
13,0.44554455445544555,0.374
14,0.4158415841584158,0.124
15,0.3910891089108911,0.812
16,0.36534653465346534,1.25
17,0.3564356435643564,0.624
18,0.32524752475247526,0.53
19,0.31287128712871287,0.844
20,0.2975247524752475,0.906
21,0.2702970297029703,0.876
22,0.2722772277227723,0.594
23,0.24603960396039604,0.874
24,0.2311881188118812,0.812
25,0.22673267326732674,1.0
26,0.20643564356435642,0.938
27,0.19851485148514852,0.75
28,0.1905940594059406,0.062
29,0.17722772277227722,0.5
30,0.1702970297029703,0.938
31,0.1599009900990099,0.218
